temperatura_c,umidade_pct,perda_pacotes_pct,latencia_ms,tentativas_login_falhas,idade_firmware_dias,consumo_cpu_pct,trafego_saida_kbps,criptografia_ativa,protocolo,rede,tipo_equipamento,risco_alto
32.55,72.18,6.42,38.27,2,176,43.45,111.66,sim,HTTP,corporativa,camera,0
33.2,40.04,1.04,79.43,2,149,93.89,368.08,sim,MQTT,corporativa,sensor,0
31.8,58.49,3.11,89.79,3,246,63.62,365.08,sim,MQTT,corporativa,sensor,1
23.34,26.97,11.06,47.51,0,263,22.5,428.89,nao,MQTT,corporativa,sensor,0
29.63,77.9,4.34,124.63,0,132,54.25,280.68,sim,MQTT,visitantes,camera,0
28.82,49.41,2.69,165.44,1,172,67.86,282.74,sim,MQTT,iot_isolada,atuador,0
29.53,57.22,4.57,67.03,3,681,86.1,329.27,nao,MQTT,iot_isolada,gateway,1
34.1,93.86,0.68,35.52,1,219,49.64,418.18,sim,MQTT,corporativa,sensor,0
29.57,79.3,8.42,24.91,1,236,21.06,298.49,sim,HTTP,corporativa,sensor,1
32.75,46.48,6.81,52.34,1,574,67.27,284.9,sim,MQTT,iot_isolada,camera,1
28.47,41.32,1.09,63.56,2,266,52.71,118.54,sim,MQTT,corporativa,camera,0
30.02,46.14,2.79,23.77,0,199,45.84,1223.63,sim,HTTP,corporativa,sensor,1
32.42,61.18,0.88,51.16,2,404,14.02,434.84,sim,MQTT,visitantes,atuador,1
17.8,50.11,7.56,120.42,0,343,68.87,345.93,sim,CoAP,iot_isolada,atuador,0
25.76,44.89,3.27,8.95,0,241,41.99,193.04,sim,HTTP,iot_isolada,atuador,0
24.71,78.41,1.97,70.04,1,256,77.27,148.04,sim,MQTT,corporativa,sensor,0
23.53,49.94,13.61,42.8,2,160,47.94,545.66,sim,MQTT,corporativa,atuador,0
26.07,93.39,7.29,64.98,1,74,50.0,267.23,sim,MQTT,visitantes,gateway,0
38.46,53.63,4.8,171.11,1,308,28.92,461.62,sim,MQTT,iot_isolada,camera,0
21.94,84.14,5.23,62.82,2,49,34.43,115.99,sim,CoAP,iot_isolada,sensor,0
34.78,58.43,4.37,56.46,2,77,67.24,882.53,sim,MQTT,iot_isolada,sensor,0
16.22,69.33,4.91,101.37,0,171,47.69,561.7,sim,MQTT,corporativa,sensor,1
25.66,38.96,2.82,80.18,2,157,59.84,282.38,nao,MQTT,iot_isolada,atuador,0
29.14,36.63,13.78,70.25,2,332,13.91,414.61,nao,MQTT,corporativa,gateway,1
32.1,60.27,6.32,82.17,0,394,47.88,502.05,sim,MQTT,corporativa,atuador,0
32.98,69.79,3.36,142.01,2,746,39.43,117.23,sim,CoAP,iot_isolada,camera,1
33.55,52.72,5.12,115.4,4,41,27.93,967.27,sim,MQTT,corporativa,sensor,0
25.56,28.84,4.06,53.65,2,283,39.0,419.17,nao,CoAP,corporativa,camera,1
24.76,27.52,1.89,165.37,0,275,33.63,182.57,sim,HTTP,corporativa,sensor,1
34.01,26.31,10.0,44.83,1,250,46.92,138.71,sim,HTTP,corporativa,atuador,1
26.66,20.18,0.38,70.05,2,308,44.15,596.43,nao,MQTT,visitantes,sensor,1
19.07,53.97,1.75,75.73,2,355,47.8,346.48,sim,MQTT,visitantes,sensor,0
20.07,72.25,9.97,51.79,0,513,56.98,418.98,sim,CoAP,corporativa,camera,0
21.56,51.76,10.5,154.14,1,256,35.08,304.5,sim,CoAP,corporativa,atuador,0
31.48,11.31,3.27,49.89,1,619,59.4,148.13,sim,HTTP,iot_isolada,camera,0
29.0,48.57,2.07,59.33,3,257,43.17,426.68,sim,MQTT,corporativa,sensor,0
32.83,49.07,2.07,126.48,2,140,34.98,260.27,sim,MQTT,iot_isolada,gateway,0
25.01,89.73,4.6,46.1,3,240,51.46,294.36,sim,MQTT,corporativa,sensor,1
29.11,25.77,1.43,22.91,2,98,57.46,1577.98,sim,HTTP,iot_isolada,camera,1
32.38,44.97,6.41,71.45,1,103,71.41,549.14,nao,CoAP,corporativa,camera,0
25.83,82.71,6.18,29.15,0,182,48.58,571.77,sim,HTTP,iot_isolada,sensor,0
31.2,60.1,4.53,26.49,2,162,41.0,2006.94,sim,CoAP,iot_isolada,sensor,0
23.37,62.14,6.11,9.18,1,503,21.71,391.19,sim,HTTP,corporativa,sensor,0
25.46,54.06,7.46,10.6,5,180,45.83,324.99,sim,CoAP,iot_isolada,sensor,0
25.33,57.94,3.86,11.48,1,86,83.09,185.78,sim,HTTP,iot_isolada,camera,0
19.63,66.0,5.55,179.28,1,208,55.7,217.72,nao,HTTP,visitantes,sensor,1
31.41,37.43,17.57,11.44,1,255,57.58,71.31,sim,HTTP,iot_isolada,sensor,1
24.71,67.81,6.31,28.53,1,225,63.44,519.72,sim,HTTP,corporativa,gateway,0
28.09,27.29,7.37,60.06,4,82,48.77,123.12,sim,CoAP,iot_isolada,gateway,1
31.37,57.91,5.34,98.41,2,540,48.43,562.23,sim,CoAP,corporativa,atuador,1
31.13,55.22,4.66,105.18,1,36,16.63,290.0,sim,CoAP,visitantes,atuador,1
32.66,40.91,5.64,35.54,1,223,36.74,326.9,sim,HTTP,iot_isolada,camera,1
27.31,51.59,7.2,69.15,0,80,66.51,290.13,sim,HTTP,corporativa,sensor,1
25.04,40.79,1.03,58.8,2,420,78.49,788.59,sim,HTTP,iot_isolada,camera,1
27.44,32.71,8.53,66.41,0,284,43.67,696.88,sim,MQTT,iot_isolada,gateway,0
16.19,45.63,4.73,72.74,0,255,35.96,292.88,nao,HTTP,corporativa,camera,0
17.87,32.13,0.67,86.49,3,170,45.57,159.29,nao,HTTP,iot_isolada,atuador,1
18.74,57.81,1.3,42.19,3,509,67.73,570.62,nao,CoAP,iot_isolada,camera,0
21.02,31.3,1.36,138.13,2,169,61.12,151.08,sim,MQTT,iot_isolada,sensor,0
30.8,64.82,0.93,50.17,0,656,53.41,100.64,sim,HTTP,iot_isolada,gateway,0
21.66,30.73,4.45,235.74,0,100,44.89,423.62,sim,HTTP,iot_isolada,sensor,0
25.35,41.81,7.28,44.19,2,209,18.43,701.31,sim,MQTT,iot_isolada,atuador,0
37.09,40.76,3.1,70.01,0,349,47.11,225.08,nao,CoAP,iot_isolada,sensor,1
25.51,75.85,2.87,59.18,3,298,53.84,396.69,sim,CoAP,iot_isolada,gateway,0
33.16,57.95,1.39,68.1,4,197,43.11,223.41,sim,CoAP,iot_isolada,camera,0
21.46,48.19,7.65,128.64,2,42,44.29,495.41,sim,MQTT,iot_isolada,sensor,0
26.56,60.98,9.06,56.76,2,234,86.68,643.24,sim,MQTT,corporativa,gateway,0
21.35,14.07,2.74,25.55,2,154,31.52,248.64,nao,HTTP,iot_isolada,sensor,1
25.63,51.22,1.93,41.6,1,125,65.53,145.57,sim,HTTP,iot_isolada,sensor,0
33.88,87.96,9.18,56.85,1,363,52.24,107.78,sim,MQTT,corporativa,sensor,0
15.91,54.38,5.53,74.38,2,33,77.64,571.34,sim,HTTP,corporativa,atuador,1
31.04,53.22,1.87,35.67,2,202,62.08,134.88,sim,MQTT,iot_isolada,atuador,0
29.66,61.87,5.09,38.85,1,10,21.05,387.77,sim,MQTT,corporativa,sensor,0
23.84,68.12,0.96,76.25,1,300,80.05,515.01,sim,CoAP,corporativa,atuador,1
17.88,16.05,3.32,78.07,0,366,58.76,210.42,sim,MQTT,corporativa,atuador,1
28.5,21.72,3.74,117.12,0,232,83.66,266.04,nao,MQTT,iot_isolada,sensor,1
24.29,55.79,5.01,41.2,1,142,34.71,601.44,sim,HTTP,visitantes,atuador,0
29.63,39.13,10.77,92.24,2,504,36.11,169.74,sim,CoAP,visitantes,sensor,1
28.15,75.62,5.84,59.26,0,527,93.57,158.1,sim,MQTT,visitantes,atuador,0
39.21,46.33,3.95,45.85,1,265,66.03,253.64,sim,MQTT,visitantes,camera,0
26.32,17.18,3.21,60.66,1,581,96.69,731.09,sim,CoAP,corporativa,atuador,1
20.84,29.18,2.55,66.78,0,100,42.92,922.89,nao,CoAP,corporativa,sensor,1
29.25,5.0,8.03,23.21,0,188,83.5,278.9,sim,MQTT,corporativa,sensor,1
29.54,47.79,12.18,24.84,0,17,63.15,181.55,sim,MQTT,corporativa,atuador,0
37.51,48.61,4.84,100.68,1,75,46.57,629.47,sim,CoAP,iot_isolada,gateway,1
33.85,44.36,7.29,49.26,1,69,42.33,92.9,nao,CoAP,visitantes,camera,1
30.5,71.42,2.88,74.75,2,298,30.17,355.43,sim,HTTP,iot_isolada,camera,0
38.24,73.57,7.65,98.73,1,80,74.84,289.82,sim,MQTT,visitantes,gateway,1
19.68,48.93,8.56,60.92,1,117,79.14,739.28,sim,HTTP,iot_isolada,sensor,0
23.52,13.58,7.0,93.36,1,130,62.05,793.55,sim,HTTP,iot_isolada,sensor,1
21.51,63.11,9.96,67.08,3,61,61.35,154.51,sim,MQTT,corporativa,sensor,0
25.27,62.0,8.58,69.28,2,219,70.3,336.09,sim,MQTT,visitantes,sensor,1
18.36,57.57,7.28,135.4,1,249,36.58,200.45,nao,CoAP,iot_isolada,atuador,1
32.45,69.67,5.28,56.31,1,47,88.59,243.39,sim,HTTP,corporativa,sensor,1
26.44,31.03,5.1,101.44,2,332,89.05,460.43,sim,MQTT,corporativa,camera,1
17.7,88.16,3.11,19.64,3,94,77.59,236.41,sim,MQTT,iot_isolada,sensor,0
20.89,34.73,0.5,72.92,0,128,18.3,342.32,sim,CoAP,iot_isolada,atuador,0
30.19,65.49,8.42,157.46,5,285,51.89,584.11,sim,HTTP,iot_isolada,sensor,1
33.87,21.63,7.08,246.3,2,129,52.13,863.17,sim,MQTT,visitantes,sensor,1
41.98,35.26,8.03,20.57,0,76,13.08,365.8,sim,MQTT,corporativa,atuador,0
48.4,79.29,13.18,49.08,2,209,16.22,324.55,nao,MQTT,visitantes,sensor,1
30.9,47.3,4.13,29.7,3,423,31.73,137.68,sim,HTTP,iot_isolada,gateway,1
21.07,67.12,6.52,57.93,1,388,49.84,906.92,sim,CoAP,iot_isolada,sensor,0
13.08,56.27,6.28,112.32,0,119,42.59,422.84,nao,MQTT,visitantes,gateway,1
29.87,50.11,0.84,138.5,0,88,78.94,328.77,sim,HTTP,iot_isolada,sensor,0
22.31,76.55,9.53,141.36,0,105,7.5,317.2,sim,CoAP,corporativa,sensor,0
25.09,47.74,3.21,18.89,0,391,80.35,384.7,nao,HTTP,visitantes,camera,1
23.72,19.95,4.39,65.77,2,103,24.09,512.99,sim,MQTT,iot_isolada,camera,0
27.01,37.54,1.11,40.56,4,562,30.18,559.41,sim,MQTT,corporativa,atuador,0
35.46,61.92,1.77,55.54,4,283,71.74,922.94,sim,MQTT,iot_isolada,sensor,1
29.1,59.12,3.8,45.05,2,191,35.71,354.21,nao,MQTT,iot_isolada,gateway,0
26.89,23.79,7.7,19.8,0,118,46.82,1020.39,sim,HTTP,iot_isolada,sensor,0
20.75,38.96,0.62,139.36,0,211,42.17,626.66,nao,CoAP,iot_isolada,gateway,1
16.28,41.53,2.87,35.96,0,75,41.84,286.55,sim,MQTT,corporativa,atuador,0
24.6,45.42,1.81,41.15,1,49,54.87,93.02,sim,HTTP,corporativa,sensor,1
27.62,27.23,7.28,158.06,1,285,73.17,317.31,nao,CoAP,iot_isolada,sensor,1
40.38,40.69,4.85,16.68,1,190,31.5,889.74,nao,CoAP,corporativa,gateway,1
28.91,38.89,3.38,85.66,2,340,78.33,173.7,sim,MQTT,iot_isolada,atuador,0
34.88,65.89,3.62,122.55,4,243,66.01,316.63,sim,HTTP,iot_isolada,camera,1
24.5,66.56,5.34,150.21,1,116,19.46,335.51,sim,CoAP,corporativa,camera,0
19.71,49.38,2.78,81.78,1,388,40.88,577.95,sim,HTTP,corporativa,gateway,0
21.24,44.94,13.43,102.66,0,128,83.11,227.81,sim,HTTP,corporativa,sensor,1
22.92,54.52,10.51,122.51,0,465,49.99,162.62,sim,CoAP,visitantes,atuador,1
42.9,37.3,4.99,58.58,2,125,57.95,445.41,nao,MQTT,visitantes,atuador,0
22.25,31.36,9.68,31.99,1,57,56.38,177.62,sim,CoAP,corporativa,atuador,0
33.87,35.08,5.94,165.6,1,523,85.97,82.69,sim,MQTT,corporativa,atuador,1
21.68,40.57,7.66,95.54,0,121,42.14,1083.83,sim,HTTP,iot_isolada,atuador,0
34.52,31.06,4.5,65.72,3,128,51.02,571.88,sim,MQTT,iot_isolada,sensor,0
30.69,54.92,15.98,20.77,2,60,76.41,1116.97,sim,MQTT,iot_isolada,atuador,0
26.9,65.13,13.26,7.14,1,178,86.32,551.04,sim,CoAP,iot_isolada,sensor,0
27.71,23.43,0.14,84.54,1,68,38.83,481.19,sim,CoAP,iot_isolada,sensor,0
23.42,52.45,2.17,6.6,1,502,37.22,387.1,sim,CoAP,corporativa,sensor,0
31.12,48.04,6.81,65.22,2,145,55.68,262.38,sim,HTTP,visitantes,sensor,0
24.82,58.15,7.33,37.3,0,90,25.04,427.72,nao,HTTP,iot_isolada,sensor,0
19.42,51.77,2.34,44.97,1,203,13.63,202.9,sim,HTTP,corporativa,camera,0
19.05,25.84,9.49,142.33,2,807,43.86,141.39,sim,MQTT,visitantes,sensor,1
29.21,29.28,3.08,37.58,1,210,75.61,236.85,sim,CoAP,corporativa,sensor,0
39.05,52.53,5.54,67.54,1,161,18.1,738.07,sim,HTTP,corporativa,sensor,0
29.12,70.52,5.91,37.74,3,200,44.79,126.13,sim,MQTT,corporativa,gateway,0
27.17,12.14,2.3,79.31,4,352,34.87,127.54,sim,MQTT,iot_isolada,camera,1
30.0,58.22,6.38,71.83,5,330,82.34,452.11,sim,MQTT,iot_isolada,gateway,0
37.14,73.41,2.58,65.25,4,238,46.14,223.51,sim,CoAP,iot_isolada,gateway,1
29.54,49.25,1.63,122.8,1,399,37.63,419.83,nao,CoAP,corporativa,gateway,0
25.12,61.9,0.45,16.72,4,208,56.32,597.59,sim,MQTT,corporativa,sensor,0
35.74,39.34,9.2,12.66,0,172,66.15,412.85,sim,MQTT,corporativa,camera,0
31.0,49.85,6.83,24.29,5,205,32.03,191.99,sim,MQTT,iot_isolada,camera,1
38.75,22.82,5.56,72.08,2,125,13.49,733.67,sim,MQTT,corporativa,sensor,1
29.28,9.8,2.27,88.62,0,358,39.17,502.44,sim,MQTT,iot_isolada,atuador,0
19.43,68.97,2.9,5.0,0,120,84.54,304.53,sim,HTTP,iot_isolada,sensor,1
18.42,34.27,7.1,87.84,0,26,86.08,294.39,sim,HTTP,iot_isolada,atuador,0
39.56,43.8,3.22,50.0,1,49,40.27,388.31,sim,HTTP,iot_isolada,sensor,1
40.07,27.04,10.92,168.29,1,256,55.24,240.23,sim,HTTP,iot_isolada,gateway,1
26.74,26.62,8.97,83.57,2,104,58.79,95.41,sim,HTTP,corporativa,sensor,0
25.32,48.87,5.36,156.09,0,336,31.23,505.28,sim,CoAP,iot_isolada,atuador,0
38.23,38.87,6.14,137.83,4,192,36.3,484.7,nao,CoAP,corporativa,atuador,0
20.25,58.8,8.17,50.02,1,356,51.29,59.7,sim,HTTP,iot_isolada,sensor,1
21.74,60.15,14.15,112.64,1,29,65.82,427.29,sim,CoAP,iot_isolada,sensor,1
32.5,57.78,13.26,49.94,1,120,51.65,1022.02,sim,MQTT,iot_isolada,camera,1
25.24,56.29,1.85,181.59,1,87,82.23,135.73,sim,MQTT,visitantes,sensor,0
27.96,80.4,3.24,53.53,1,913,56.01,283.92,sim,CoAP,corporativa,sensor,0
26.86,32.78,1.77,91.47,1,137,31.24,263.12,sim,HTTP,corporativa,atuador,0
30.36,51.01,9.1,203.13,1,48,27.22,955.55,nao,CoAP,visitantes,camera,1
37.85,72.39,11.25,94.18,2,252,70.7,655.02,nao,MQTT,corporativa,sensor,1
28.63,74.76,2.61,46.13,0,80,67.79,161.6,sim,CoAP,iot_isolada,camera,0
32.51,26.41,3.96,21.86,0,382,25.31,379.74,sim,HTTP,corporativa,sensor,0
13.65,46.38,2.61,16.87,1,427,68.54,1497.98,sim,HTTP,iot_isolada,atuador,0
27.66,76.45,1.85,87.55,2,88,63.2,193.0,sim,MQTT,iot_isolada,sensor,0
22.1,61.15,16.86,60.65,1,107,57.79,296.54,sim,MQTT,iot_isolada,sensor,1
19.47,55.51,5.18,24.68,0,235,86.75,428.14,sim,MQTT,iot_isolada,sensor,0
21.85,48.08,6.4,104.82,1,390,81.96,194.99,sim,HTTP,iot_isolada,atuador,1
25.66,45.09,14.75,103.86,0,256,37.86,1026.84,sim,MQTT,iot_isolada,sensor,1
34.41,57.19,14.08,59.87,3,137,65.74,214.68,sim,HTTP,iot_isolada,gateway,1
18.72,47.46,0.96,160.45,2,58,88.89,113.03,sim,MQTT,corporativa,camera,0
28.21,51.23,4.45,13.93,1,596,68.19,206.96,sim,HTTP,iot_isolada,atuador,0
24.61,53.41,6.9,47.48,2,260,70.35,472.06,sim,MQTT,corporativa,sensor,0
25.71,39.79,13.29,93.84,1,682,77.56,170.93,sim,CoAP,corporativa,atuador,1
35.02,61.58,5.67,27.25,0,288,13.25,369.27,nao,CoAP,iot_isolada,atuador,0
31.77,100.0,1.06,111.69,1,623,61.23,443.1,nao,HTTP,iot_isolada,sensor,0
37.36,20.01,4.39,133.53,1,98,57.82,128.22,nao,HTTP,visitantes,sensor,1
26.92,57.83,0.18,5.0,4,105,61.93,201.42,nao,MQTT,iot_isolada,atuador,0
23.13,38.32,6.96,163.9,1,167,49.16,381.56,sim,MQTT,corporativa,sensor,0
26.43,62.39,7.87,90.07,1,92,56.9,488.67,sim,MQTT,corporativa,atuador,0
29.7,52.84,4.99,43.3,3,40,53.09,204.97,sim,CoAP,corporativa,atuador,0
29.24,65.71,10.8,18.31,1,115,77.3,332.37,sim,CoAP,corporativa,sensor,0
20.41,73.16,1.43,121.56,1,285,11.1,245.0,sim,MQTT,iot_isolada,sensor,0
28.63,55.46,6.07,23.55,3,65,20.76,497.45,sim,HTTP,iot_isolada,sensor,0
29.6,72.38,2.53,89.95,1,72,43.56,429.92,nao,MQTT,corporativa,camera,0
45.62,9.8,3.15,24.43,0,121,31.43,230.11,sim,MQTT,corporativa,camera,1
41.14,80.63,2.95,64.17,2,83,50.61,417.76,sim,MQTT,corporativa,gateway,0
22.03,58.75,6.49,118.06,2,127,63.12,223.9,nao,CoAP,iot_isolada,camera,1
25.99,71.4,5.9,43.75,2,177,69.23,411.64,sim,MQTT,corporativa,atuador,0
17.76,30.04,5.83,163.19,0,69,86.34,415.68,sim,HTTP,corporativa,sensor,0
23.87,37.05,9.18,95.31,2,123,42.65,1571.42,sim,CoAP,iot_isolada,sensor,0
30.21,54.63,4.53,27.33,0,190,52.27,236.19,sim,CoAP,corporativa,sensor,0
36.44,51.69,3.87,19.71,2,95,65.64,270.73,nao,MQTT,corporativa,sensor,1
22.9,57.1,12.91,34.11,2,58,39.87,189.98,sim,HTTP,iot_isolada,sensor,0
23.42,71.52,1.82,61.97,0,101,68.29,145.04,sim,HTTP,corporativa,atuador,0
12.97,20.23,2.53,173.13,0,144,71.81,217.13,nao,CoAP,corporativa,sensor,1
26.86,69.53,12.13,194.2,2,38,73.66,476.07,sim,MQTT,corporativa,sensor,1
20.56,52.15,8.96,42.45,2,288,44.63,500.81,sim,MQTT,corporativa,gateway,1
24.29,48.33,3.62,41.41,1,150,53.7,367.59,sim,MQTT,visitantes,gateway,0
21.86,25.52,2.83,106.17,3,102,64.98,242.98,sim,MQTT,iot_isolada,camera,1
27.34,61.05,3.31,105.59,1,45,35.02,211.59,sim,CoAP,iot_isolada,sensor,0
15.7,8.55,9.66,146.77,1,262,36.24,157.31,nao,MQTT,iot_isolada,sensor,1
17.73,63.67,4.61,149.3,2,430,77.54,202.39,sim,HTTP,corporativa,sensor,1
42.9,25.14,1.93,32.15,1,119,63.16,120.71,sim,MQTT,iot_isolada,sensor,0
18.99,52.96,8.15,16.14,2,642,50.07,773.17,sim,CoAP,corporativa,sensor,0
20.32,49.85,2.03,96.25,1,183,87.51,1081.39,sim,HTTP,iot_isolada,camera,1
40.86,73.05,3.42,74.82,3,188,76.77,77.08,sim,MQTT,iot_isolada,atuador,1
48.34,48.78,9.76,8.82,4,347,43.38,365.95,sim,MQTT,corporativa,sensor,1
19.8,39.51,5.66,15.76,0,272,20.49,361.73,sim,CoAP,iot_isolada,sensor,1
25.42,42.88,13.41,93.13,2,65,71.91,345.91,sim,MQTT,corporativa,atuador,0
30.39,74.91,4.63,58.02,1,115,23.42,197.37,sim,HTTP,corporativa,camera,0
40.1,61.65,3.86,94.57,1,389,80.3,611.41,sim,HTTP,corporativa,gateway,1
21.09,45.06,3.25,25.72,1,276,48.41,398.35,nao,CoAP,corporativa,atuador,0
26.28,47.74,9.2,99.26,2,646,80.97,616.39,nao,HTTP,corporativa,gateway,1
33.44,23.79,4.88,81.42,1,246,51.99,178.35,sim,MQTT,visitantes,gateway,1
31.04,58.99,7.71,104.22,2,283,37.45,113.5,nao,MQTT,corporativa,sensor,1
25.37,20.32,1.86,44.86,1,101,21.49,405.22,sim,MQTT,corporativa,atuador,0
27.06,65.53,9.5,37.57,1,425,34.57,152.31,nao,CoAP,corporativa,gateway,1
18.38,54.32,5.65,18.28,1,17,32.07,625.29,sim,MQTT,corporativa,sensor,0
26.33,94.97,5.63,50.84,1,214,56.71,67.45,sim,MQTT,corporativa,camera,1
26.14,32.2,3.28,129.83,1,289,70.95,215.3,sim,HTTP,corporativa,sensor,1
29.63,50.15,10.51,153.6,2,234,33.15,194.19,sim,MQTT,corporativa,camera,1
24.11,84.37,7.19,23.74,1,184,52.5,236.83,sim,MQTT,corporativa,sensor,0
31.3,73.45,4.91,61.94,1,168,37.38,358.8,sim,MQTT,corporativa,camera,1
35.09,39.47,1.14,174.79,3,190,48.45,394.4,sim,MQTT,iot_isolada,camera,0
29.09,56.03,5.83,190.02,1,75,54.71,467.69,sim,MQTT,visitantes,camera,0
30.46,52.04,4.66,49.27,2,233,34.05,506.99,nao,MQTT,corporativa,camera,0
28.37,57.08,2.92,137.38,2,102,26.12,265.05,sim,MQTT,iot_isolada,sensor,0
28.0,39.42,3.85,122.41,2,119,38.82,1307.79,sim,HTTP,iot_isolada,sensor,0
22.95,50.39,9.88,115.87,2,67,19.41,789.16,sim,MQTT,iot_isolada,camera,0
30.22,23.24,4.11,13.57,2,1046,32.78,240.23,sim,CoAP,iot_isolada,camera,0
27.32,54.43,1.38,40.45,1,221,58.02,271.56,sim,CoAP,iot_isolada,atuador,0
42.65,60.1,4.84,57.09,2,54,33.7,236.72,sim,HTTP,visitantes,sensor,0
39.01,47.91,1.86,55.88,1,204,70.12,385.41,sim,HTTP,corporativa,camera,0
30.7,22.93,2.76,61.45,4,422,73.26,151.36,sim,MQTT,iot_isolada,atuador,1
22.66,69.79,20.2,203.34,2,231,53.34,171.97,sim,MQTT,iot_isolada,gateway,1
20.21,58.56,4.66,50.57,1,180,37.09,65.55,sim,MQTT,visitantes,sensor,0
36.34,38.93,6.81,84.08,1,95,81.5,226.09,nao,MQTT,iot_isolada,sensor,1
29.84,46.95,5.75,82.01,1,232,91.39,629.76,nao,HTTP,visitantes,atuador,1
31.36,24.99,1.21,62.02,0,322,29.97,268.68,sim,CoAP,iot_isolada,sensor,1
15.79,33.54,5.75,25.13,2,324,46.0,279.41,sim,MQTT,iot_isolada,sensor,1
34.49,42.32,4.71,68.21,3,216,40.54,363.11,nao,MQTT,iot_isolada,camera,1
31.18,74.11,12.07,8.63,2,215,39.66,148.18,sim,HTTP,iot_isolada,sensor,1
20.23,40.49,3.75,89.96,2,470,87.84,304.2,sim,CoAP,iot_isolada,camera,0
24.7,63.52,10.51,6.98,1,437,70.55,557.37,sim,MQTT,iot_isolada,atuador,0
29.85,42.31,2.37,84.48,4,161,52.16,370.4,sim,HTTP,corporativa,atuador,1
28.37,56.46,6.02,38.74,0,609,32.27,592.72,nao,CoAP,visitantes,camera,1
